question,answer,category,article_reference,source,year_passed
Do Cameroonian citizens have a duty to vote? (ver 64),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 65),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 66),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 67),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 68),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 69),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 70),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 71),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 72),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 73),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 74),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 75),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 76),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 77),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 78),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 79),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 80),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 81),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 82),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 83),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 84),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 85),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 86),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 87),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 88),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 89),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 90),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 91),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 92),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 93),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Do Cameroonian citizens have a duty to vote? (ver 94),"Yes, voting is a civic duty in Cameroon and encouraged as part of democratic participation.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 95),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
Is national service compulsory? (ver 96),"While not mandatory for all, Cameroon encourages civic and national youth service under government programs.",Civic Duties & Responsibilities,Varies,Official Gazette / Sector Law,1996
